Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR13580929,2022-01-31 03:10:03,2021-01-29 15:15:13,11571252,3494518104,11571252,302,1920,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13580/SRR13580929/SRR13580929.lite.1,SRX9978882,LTS16-JM36_383bp_L001,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294979,PRJNA681321,,681321,SRS8151035,SAMN17573517,simple,2806734,Galkinius sp. KKC-2021,GALK_base_L1,,,,,,,no,,,,,ACADEMIA SINICA,SRA1189487,,public,A750F41FB1FBA28B91CD4048926F40F2,A61332C1FA9C2E9EB63FAE067D917B04
SRR13785539,2021-02-25 16:13:01,2021-02-25 16:06:36,27121002,4881780360,27121002,180,3270,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13785/SRR13785539/SRR13785539.lite.1,SRX10170722,TF_rim_l1_1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294979,PRJNA681321,,681321,SRS8320777,SAMN18042805,simple,1562191,Tetraclita japonica formosana,Tformosana_base,,,,,,,no,,,,,SHENZHEN UNIVERSITY,SRA1200209,,public,68F4A894BAEBC95A6005EF7B6A08E034,C2E390612E5F3790BFE665C72B7171F3
SRR14354747,2021-07-02 00:11:43,2021-04-29 10:00:48,42170437,12651131100,42170437,300,4609,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14354/SRR14354747/SRR14354747.lite.1,SRX10708594,ZYT03,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP316832,PRJNA725059,,725059,SRS8798326,SAMN18916982,simple,41070,Capitulum mitella,GZ2,,,,,,,no,,,,,FUJIAN NORMAL UNIVERSITY,SRA1225212,,public,6B094E3E15110F8A11A3F79DB562A8C9,D89068F28C537EE40C97C2F9CF77FB99
SRR14809834,2021-06-15 10:57:05,2021-06-15 09:37:20,436550117,131838135334,436550117,302,42403,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14809/SRR14809834/SRR14809834.lite.1,SRX11142767,BodyxScript0001R1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP324028,PRJNA734913,2,734913,SRS9204827,SAMN19549331,simple,1232801,Amphibalanus amphitrite,BodyxScript,,,,,,,no,,,,,NAVAL RESEARCH LABORATORY,SRA1243020,,public,6C201407FDF55FC6395DE980E4FF24AB,E3D28E5B9B00F404C193E5F03421B70D
SRR14872363,2021-06-21 17:25:42,2021-06-21 15:36:27,22750021,1137501050,0,50,498,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14872/SRR14872363/SRR14872363.lite.1,SRX11189815,12331X7,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP324899,PRJNA739642,,739642,SRS9245814,SAMN19796478,simple,238044,Loxothylacus panopaei,MD_F_4,,,,,female,,no,,,,,SMITHSONIAN INSTITUTION,SRA1248460,,public,8FE31D804EFB1A6B115108D09DCCD270,A13953CEE0FA9A9BFEE6B6F961301837
SRR15043433,2021-07-05 14:19:17,2021-07-05 14:17:28,31343656,4691327148,31343656,149,1931,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR015/15043/SRR15043433/SRR15043433.lite.1,SRX11354074,B2IPPP-treated-8,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP326989,PRJNA743879,,743879,SRS9401001,SAMN20062617,simple,294128,Hyalella azteca,B-1000-8,,,,,female,,no,,,,,ENVIRONMENT AND CLIMATE CHANGE CANADA,SRA1254637,,public,76E6D185E3926DD1BEFB2B7607605A39,F75399D1D1841461B1B0337EF8BB5F14
SRR17651134,2022-01-18 04:19:11,2022-01-18 04:12:41,55245434,11976211472,55245434,216,5610,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR017/17651/SRR17651134/SRR17651134.lite.1,SRX13819380,Pret_thoracic_part_rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP355523,PRJNA798055,,798055,SRS11699181,SAMN25044011,simple,2664287,Peltogaster reticulata,Pret_thoracic_part_rep2,,,,,female,,no,,,,,SAINT PETERSBURG UNIVERSITY,SRA1357860,,public,951DF39768A772D5D21FDE7C9DBE59EA,DD00A6516B90EB9B04D897856C55D370
ERR15320369,2025-07-23 09:32:58,2025-07-28 05:09:52,28598585,8636772670,28598585,302,2755,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/ERR015/15320/ERR15320369/ERR15320369.lite.1,ERX14727208,SQPP-7472-W:E11,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina NovaSeq 6000,ERP135013,PRJEB50433,,1295259,ERS10420478,SAMEA12813518,simple,319673,Clistosaccus paguri,SAMEA12813518,,,,,female,,no,,,,,WELLCOME SANGER INSTITUTE,ERA33646052,,public,12077151242665DF42E7BA0303822ECB,B0C290ABCF4731646EA9EB19B0A41324
DRR277134,2022-02-28 10:05:58,2022-02-28 10:12:01,107068459,21627828718,107068459,202,13834,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/DRR000/277/DRR277134/DRR277134.lite.1,DRX266718,1-1 N6_728,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,130,0,ILLUMINA,Illumina HiSeq 1000,DRP008231,PRJDB11267,,810991,DRS229693,SAMD00283133,simple,6680,Megabalanus rosa,SAMD00283133,,,,,,,no,,,,,AKITA_PREF,DRA011632,,public,92242429BBC58C7F6F9D2A0C085B5C2A,39356EABFA2BD6A18E23F92B33B3B5D8
SRR23490783,2024-03-31 00:01:14,2023-02-15 22:40:54,28158729,8447618700,28158729,300,2552,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR023/23490/SRR23490783/SRR23490783.lite.1,SRX19384350,BhirCir1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294979,PRJNA681321,,681321,SRS16780262,SAMN33180070,simple,3027497,Bathylasma hirsutum,Tissue samples,,,,,,,no,,,,,SHENZHEN UNIVERSITY,SRA1591083,,public,D6F7C416A4E4D53A9861BD8E1D9BDC60,5659532949B950664C57C3E961B42846
SRR23562286,2023-02-21 07:14:48,2023-02-21 07:09:09,23876268,7162880400,23876268,300,2111,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23562/SRR23562286/SRR23562286.lite.1,SRX19449228,Vf_3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP423637,PRJNA935972,,935972,SRS16842310,SAMN33331044,simple,2511776,Vulcanolepas fijiensis,Vf_3,,,,,,,no,,,,,JIANGSU OCEAN UNIVERSITY,SRA1593284,,public,8446AA97955A0E19996FDC7EBDB9F5DC,8F5E639FF73A1DE8BCE9E90656B93F1C
SRR23562283,2023-02-21 07:14:48,2023-02-21 07:11:37,23796882,7139064600,23796882,300,2317,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23562/SRR23562283/SRR23562283.lite.1,SRX19449231,Ss_3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP423637,PRJNA935972,,935972,SRS16842312,SAMN33331047,simple,748153,Scalpellum stearnsi,Ss_3,,,,,,,no,,,,,JIANGSU OCEAN UNIVERSITY,SRA1593284,,public,68F4AB9C65BBF9E4623F23108CA349AA,52E7EB1675C5007C71B21F2C30182222
DRR311751,2023-08-02 13:59:58,2023-09-16 05:57:41,32444754,9798315708,32444754,302,3394,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/DRR000/311/DRR311751/DRR311751.lite.1,DRX301171,20A-1Pp24v4DGint,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,130,0,ILLUMINA,HiSeq X Ten,DRP010354,PRJDB12093,,1001647,DRS318201,SAMD00396033,simple,238042,Polyascus polygenea,SAMD00396033,,,,,,,no,,,,,AKITA_PREF,DRA012517,,public,8A27FADDDFB896F9359E6AD56E2663CC,2A2A5170E956494BD7BAD0EF48696418
SRR29118782,2024-05-22 00:20:30,2024-05-21 23:03:36,56846853,11088693773,56846853,195,3512,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29118/SRR29118782/SRR29118782.lite.1,SRX24642640,Tetrub_legs_316,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP509098,PRJNA1011947,,1011947,SRS21379727,SAMN41406253,simple,311010,Tetraclita rubescens,Tetrub_legs_316,,,,,,,no,,,,,UCLA,SRA1873732,,public,E624BA74759F07BC208FE2F55F555F98,E5401A88E2EAEC49DF63CAD22F96A42B
DRR345795,2024-06-30 15:28:50,2024-06-30 15:35:12,11578894,4358800897,11578894,376,2302,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/DRR000/345/DRR345795/DRR345795.lite.1,DRX334708,,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,600,0,ILLUMINA,Illumina MiSeq,DRP011735,PRJDB12911,,1130153,DRS393583,SAMD00441438,simple,399131,Balanus rostratus,SAMD00441438,,,,,,,no,,,,,BRH,DRA013437,,public,1C7776BBB30418E8D3B3B505CD6863A1,3876D54B57EE0F50EC3942CCEEBF10BD
SRR31412042,2025-01-29 04:14:19,2024-11-20 12:50:01,24168634,7230558990,24168634,299,2173,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31412/SRR31412042/SRR31412042.lite.1,SRX26781120,P_sinen02T0013,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP546456,PRJNA1185833,,1185833,SRS23267723,SAMN44729405,simple,3381862,Parasacculina sinensis,02T0013,,,,,,,no,,,,,SHENZHEN UNIVERSITY,SRA2018246,,public,45EF915B9D7A00208FD9CA48113D0517,041F904474C41FE6A5C837943D8D7665
SRR33589383,2025-07-25 10:30:54,2025-05-15 16:46:37,35629,57367601,0,1610,17,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-run-834/SRR033/33589/SRR33589383/SRR33589383.1,SRX28819094,m54057_190926_040405,RNA-Seq,cDNA,METATRANSCRIPTOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel II,SRP585651,PRJNA1262993,,1262993,SRS25053820,SAMN48491911,simple,3423369,Hansenocaris sp.,JA-2018-2019-metaY1Y2,,,,,Not applicable,,no,,,,,NATURAL HISTORY MUSEUM OF DENMARK,SRA2130587,,public,36054F9469E55674A8BC8E662FD0E548,CC5C5CD26BFC51C64202A8402D3D0CFB
